Date_Observed,ra,dec,SIMBAD_Name,Source_Type
22-09-2019,340.663917,29.835361,0,0
22-09-2019,340.790417,29.6153,0,0
22-09-2019,255.705667,-48.789667,V* V821 Ara,HMXB
23-09-2019,251.44875,-45.611111,4U 1642-45,LMXB
23-09-2019,256.435375,-36.423069,V* V1101 Sco,LMXB
24-09-2019,270.290542,-25.078925,4U 1758-25,LMXB
24-09-2019,86.757871,-34.25061,NGC  2090,GinGroup
24-09-2019,26.012292,61.888972,EM* GGA   83,Be*
25-09-2019,118.8554,39.18615,Mrk  382,Seyfert_1
28-09-2019,326.171475,38.321407,V* V1341 Cyg,LMXB
01-10-2019,264.974792,-28.496333,[KRL2007b] 258,LMXB
02-10-2019,7.26275,59.571944,V* V1037 Cas,LMXB
02-10-2019,31.792958,-74.1175,[DI91]  341,Star
03-10-2019,30.309042,-74.164333,2MASS J02012483-7409488,Candidate_RGB*
03-10-2019,33.286375,-74.170172,SSTISAGEMA J021301.40-741040.6,Star
04-10-2019,25.582042,51.575472,M  76,PN
04-10-2019,62.223958,-55.98956,IC 2038,GinPair
05-10-2019,347.447,-43.4279,NGC  7496,AGN
05-10-2019,120.004167,-10.77,NGC  2506,OpCl
10-10-2019,272.11475,-36.978972,V* V4580 Sgr,LMXB
13-10-2019,296.254167,-14.815278,[SRC2012] 296.254303-14.816854,Candidate_AGB*
15-10-2019,302.355792,-48.831583,QSO B2005-489,BLLac
16-10-2019,62.466,-56.11844,NGC  1533,GinGroup
16-10-2019,62.749421,-56.48044,NGC  1536,IG
16-10-2019,63.65225,-56.060806,NGC  1546,GinGroup
17-10-2019,93.90125,71.0375,[KGP93] Mrk 3 5,Radio
19-10-2019,11.363333,41.883025,[JSD2012] PC  295,Cl*
20-10-2019,9.260667,39.972361,[MMD2006] 2526,PN?
21-10-2019,352.967412,19.937264,BD+19  5116,**
23-10-2019,67,-47.91275,NAME Carafe Nebula,LINER
24-10-2019,323.284612,39.635978,PN Hu  1-2,PN
25-10-2019,117.086125,47.203953,[GBM2015] SDSS 1737-53055-369 SN,SN
25-10-2019,337.759125,-20.797992,0,0
26-10-2019,353.6145,-36.1011,IC 5332,GinGroup
26-10-2019,19.255417,-71.733639,SSTISAGEMA J011702.13-714408.3,Candidate_RGB*
26-10-2019,18.79625,-71.3655,SSTISAGEMA J011506.00-712205.7,Candidate_RGB*
26-10-2019,81.707967,-66.095275,MACHO  62.7605.393,PM*
27-10-2019,49.566667,-66.498333,NGC  1313,Galaxy
29-10-2019,292.482931,18.310618,IGR J19294+1816,HMXB
29-10-2019,11.037,41.557347,[AMB2011] HII 2651,HII
30-10-2019,10.710708,41.250228,M31N 2013-12a,X
01-11-2019,351.350779,-38.446997,2MASX J23252420-3826492,Seyfert_1
03-11-2019,11.719583,42.203444,[JSD2015] AP  4076,Galaxy
04-11-2019,112.26125,13.246778,PN A66   21,PN
04-11-2019,147.593333,31.487778,UGC  5272,Galaxy
06-11-2019,124.87075,70.70536,[SST2011] J081929.00+704219.3,ULX
